V1;V2;V3;V4;V5;V6;V7
107;12054_8#6;T126N12_C5;ST239;ERS254906;115.68;current;T126_N12_C06
108;12054_8#7;T126N12_C6;ST239;ERS254907;118.44;current;T126_N12_C07
109;12054_8#8;T126N12_C7;ST239;ERS254908;116;current;T126_N12_C08
110;12054_8#9;T126N12_C8;ST239;ERS254909;101.82;current;T126_N12_C09
111;4752_7#11;T126N13;NA;ERS007956;130.1;Tong;T126_N13_C01
112;5985_5#10;T126 N13;NA;ERS023888;420.2;Tong;T126_N13_C02
113;5985_5#11;T126 N13;NA;ERS023889;393.5;Tong;T126_N13_C03
114;5985_5#5;T126 N13;NA;ERS023883;420.6;Tong;T126_N13_C04
115;5985_5#6;T126 N13;NA;ERS023884;428.3;Tong;T126_N13_C05
116;5985_5#7;T126 N13;NA;ERS023885;415.4;Tong;T126_N13_C06
117;5985_5#8;T126 N13;NA;ERS023886;439.4;Tong;T126_N13_C07
118;5985_5#9;T126 N13;NA;ERS023887;443.5;Tong;T126_N13_C08
119;5985_6#1;T126 N13;NA;ERS023890;544.6;Tong;T126_N13_C09
120;5985_6#10;T126 N13;NA;ERS023899;434.6;Tong;T126_N13_C10
121;5985_6#11;T126 N13;NA;ERS023900;419.3;Tong;T126_N13_C11
122;5985_6#2;T126 N13;NA;ERS023891;516.3;Tong;T126_N13_C12
123;5985_6#3;T126 N13;NA;ERS023892;625.6;Tong;T126_N13_C13
124;5985_6#4;T126 N13;NA;ERS023893;543.9;Tong;T126_N13_C14
125;5985_6#5;T126 N13;NA;ERS023894;469.3;Tong;T126_N13_C15
126;5985_6#6;T126 N13;NA;ERS023895;460.7;Tong;T126_N13_C16
127;5985_6#7;T126 N13;NA;ERS023896;528.3;Tong;T126_N13_C17
128;5985_6#8;T126 N13;NA;ERS023897;525.4;Tong;T126_N13_C18
129;5985_6#9;T126 N13;NA;ERS023898;479.3;Tong;T126_N13_C19
130;5985_7#1;T126 N13;NA;ERS023901;561.2;Tong;T126_N13_C20
131;5985_7#2;T126 N13;NA;ERS023902;471.6;Tong;T126_N13_C21
132;5704_7#5;T126N14;NA;ERS007957;106.8;Tong;T126_N14_C01
133;12054_8#10;T126N14_C1;ST239;ERS254910;99.45;current;T126_N14_C02
134;12054_8#11;T126N14_C2;ST239;ERS254911;113.76;current;T126_N14_C03
135;12054_8#12;T126N14_C3;ST239;ERS254912;112.32;current;T126_N14_C04
136;12054_8#13;T126N14_C4;ST239;ERS254913;122.24;current;T126_N14_C05
137;12054_8#14;T126N14_C5;ST239;ERS254914;130.88;current;T126_N14_C06
138;12054_8#15;T126N14_C6;ST239;ERS254915;128.08;current;T126_N14_C07
139;12054_8#16;T126N14_C7;ST239;ERS254916;122.16;current;T126_N14_C08
140;12054_8#17;T126N14_C8;ST239;ERS254917;113.52;current;T126_N14_C09
141;5150_8#2;T126N15;NA;ERS007958;98.5;Tong;T126_N15_C01
142;12054_8#18;T126N15_C1;ST239;ERS254918;112.52;current;T126_N15_C02
143;12054_8#19;T126N15_C2;ST239;ERS254919;124.84;current;T126_N15_C03
144;12054_8#20;T126N15_C3;ST239;ERS254920;125.76;current;T126_N15_C04
145;12054_8#21;T126N15_C4;ST239;ERS254921;126.44;current;T126_N15_C05
146;12054_8#22;T126N15_C5;ST239;ERS254922;135.24;current;T126_N15_C06
147;12054_8#23;T126N15_C6;ST239;ERS254923;127.72;current;T126_N15_C07
148;12054_8#24;T126N15_C7;ST239;ERS254924;122.68;current;T126_N15_C08
149;12054_8#25;T126N15_C8;ST239;ERS254925;116;current;T126_N15_C09
150;5150_8#3;T126N16;NA;ERS007959;124.7;Tong;T126_N16_C01
151;12054_8#26;T126N16_C1;ST239;ERS254926;108.72;current;T126_N16_C02
152;12054_8#27;T126N16_C2;ST239;ERS254927;120.28;current;T126_N16_C03
153;12054_8#28;T126N16_C3;ST239;ERS254928;121.2;current;T126_N16_C04
154;12054_8#29;T126N16_C4;ST239;ERS254929;121.4;current;T126_N16_C05
155;12054_8#30;T126N16_C5;ST239;ERS254930;124.96;current;T126_N16_C06
156;12054_8#31;T126N16_C6;ST239;ERS254931;127.2;current;T126_N16_C07
157;12054_8#32;T126N16_C7;ST239;ERS254932;121.52;current;T126_N16_C08
158;12054_8#33;T126N16_C8;ST239;ERS254933;111.87;current;T126_N16_C09
159;5150_8#4;T126N17;NA;ERS007960;111.3;Tong;T126_N17_C01
160;5150_8#5;T126N18;NA;ERS007961;90.1;Tong;T126_N18_C01
161;12054_8#34;T126N18_C1;ST239;ERS254934;104.07;current;T126_N18_C02
162;12054_8#35;T126N18_C2;ST239;ERS254935;121.68;current;T126_N18_C03
163;12054_8#36;T126N18_C3;ST239;ERS254936;113.84;current;T126_N18_C04
164;12054_8#37;T126N18_C4;ST239;ERS254937;125.92;current;T126_N18_C05
165;12054_8#38;T126N18_C5;ST239;ERS254938;131.96;current;T126_N18_C06
166;12054_8#39;T126N18_C6;ST239;ERS254939;130.68;current;T126_N18_C07
167;12054_8#40;T126N18_C7;ST239;ERS254940;126.8;current;T126_N18_C08
