12162_7#35	T012_N02_C01
12162_7#36	T012_N02_C02
12162_7#37	T012_N02_C03
12162_7#38	T012_N02_C04
12162_7#39	T012_N02_C05
12162_7#40	T012_N02_C06
12162_7#41	T012_N02_C07
12162_7#42	T012_N02_C08
12162_6#72	T012_N20_C01
12162_6#73	T012_N20_C02
12162_6#74	T012_N20_C03
12162_6#75	T012_N20_C04
12162_6#76	T012_N20_C05
12162_6#77	T012_N20_C06
12162_6#78	T012_N20_C07
12162_6#79	T012_N20_C08
12162_6#80	T012_N21_C01
12162_6#81	T012_N21_C02
12162_6#82	T012_N21_C03
12162_6#83	T012_N21_C04
12162_6#84	T012_N21_C05
12162_6#85	T012_N21_C06
12162_6#86	T012_N21_C07
12162_6#87	T012_N21_C08
12083_6#94	T012_N22_C01
12162_6#88	T012_N22_C02
12162_6#89	T012_N22_C03
12162_6#90	T012_N22_C04
12162_6#91	T012_N22_C05
12162_6#92	T012_N22_C06
12162_6#93	T012_N22_C07
12162_6#94	T012_N22_C08
4925_8#6	T012_N24_C01
12083_6#1	T012_N25_C01
12083_6#2	T012_N25_C02
12083_6#3	T012_N25_C03
12083_6#4	T012_N25_C04
12083_6#5	T012_N25_C05
12083_6#6	T012_N25_C06
12083_6#7	T012_N25_C07
12083_6#8	T012_N25_C08
12083_6#10	T012_N26_C01
12083_6#11	T012_N26_C02
12083_6#12	T012_N26_C03
12083_6#13	T012_N26_C04
12083_6#14	T012_N26_C05
12083_6#15	T012_N26_C06
12083_6#16	T012_N26_C07
12083_6#9	T012_N26_C08
12083_6#17	T012_N27_C01
12083_6#18	T012_N27_C02
12083_6#19	T012_N27_C03
12083_6#20	T012_N27_C04
12083_6#21	T012_N27_C05
12083_6#22	T012_N27_C06
12083_6#23	T012_N27_C07
12083_6#24	T012_N27_C08
4925_8#5	T012_N28_C01
12083_6#25	T012_N28_C02
12083_6#26	T012_N28_C03
12083_6#27	T012_N28_C04
12083_6#28	T012_N28_C05
12083_6#29	T012_N28_C06
12083_6#30	T012_N28_C07
12083_6#31	T012_N28_C08
12083_6#32	T012_N28_C09
12162_7#43	T012_N04_C01
12162_7#44	T012_N04_C02
12162_7#45	T012_N04_C03
12162_7#46	T012_N04_C04
12162_7#47	T012_N04_C05
12162_7#48	T012_N04_C06
12162_7#49	T012_N04_C07
12162_7#50	T012_N04_C08
12162_7#51	T012_N05_C01
12162_7#52	T012_N05_C02
12162_7#53	T012_N05_C03
12162_7#54	T012_N05_C04
12162_7#55	T012_N05_C05
12162_7#56	T012_N05_C06
12162_7#57	T012_N05_C07
12162_7#58	T012_N05_C08
12162_7#59	T012_N06_C01
12162_7#60	T012_N06_C02
12162_7#61	T012_N06_C03
12162_7#62	T012_N06_C04
12162_7#63	T012_N06_C05
12162_7#64	T012_N06_C06
12162_7#65	T012_N06_C07
12162_7#66	T012_N06_C08
12162_7#67	T012_N07_C01
12162_7#68	T012_N07_C02
12162_7#69	T012_N07_C03
12162_7#70	T012_N07_C04
12162_7#71	T012_N07_C05
12162_7#72	T012_N07_C06
